Harga Produk,Total Produk,Total Item Terjual,Penjualan Per Hari,Pemasukan per Hari,Pengeluaran per Hari,Laba Kotor per Hari,Kategori_Produk_Laris
5000,8,329,40000.0,4898000,2002400,2895600,0
4000,8,329,32000.0,4898000,2002400,2895600,0
15000,11,329,165000.0,4898000,2002400,2895600,0
19000,4,329,76000.0,4898000,2002400,2895600,0
1000,3,329,3000.0,4898000,2002400,2895600,0
12000,1,329,12000.0,4898000,2002400,2895600,0
10000,1,329,10000.0,4898000,2002400,2895600,0
12000,1,329,12000.0,4898000,2002400,2895600,0
6000,1,329,6000.0,4898000,2002400,2895600,0
5000,1,329,5000.0,4898000,2002400,2895600,0
5000,1,329,5000.0,4898000,2002400,2895600,0
20000,34,219,327375.0,3153000,1452400,1700600,1
23000,24,219,327375.0,3153000,1452400,1700600,1
5000,22,219,110000.0,3153000,1452400,1700600,1
6000,20,219,120000.0,3153000,1452400,1700600,0
28000,17,219,327375.0,3153000,1452400,1700600,0
23000,17,219,327375.0,3153000,1452400,1700600,0
4000,15,219,60000.0,3153000,1452400,1700600,0
15000,15,219,225000.0,3153000,1452400,1700600,0
12000,8,219,96000.0,3153000,1452400,1700600,0
4000,7,219,28000.0,3153000,1452400,1700600,0
1000,7,219,7000.0,3153000,1452400,1700600,0
15000,7,219,105000.0,3153000,1452400,1700600,0
19000,7,219,133000.0,3153000,1452400,1700600,0
15000,6,219,90000.0,3153000,1452400,1700600,0
5000,4,219,20000.0,3153000,1452400,1700600,0
5000,3,219,15000.0,3153000,1452400,1700600,0
12000,2,219,24000.0,3153000,1452400,1700600,0
3000,2,219,6000.0,3153000,1452400,1700600,0
10000,1,219,10000.0,3153000,1452400,1700600,0
5000,1,219,5000.0,3153000,1452400,1700600,0
23000,46,321,93500.0,4556000,1962400,2593600,1
20000,42,321,93500.0,4556000,1962400,2593600,1
5000,38,321,190000.0,4556000,1962400,2593600,1
6000,33,321,198000.0,4556000,1962400,2593600,1
28000,28,321,93500.0,4556000,1962400,2593600,1
4000,27,321,108000.0,4556000,1962400,2593600,1
23000,26,321,327375.0,4556000,1962400,2593600,1
15000,12,321,180000.0,4556000,1962400,2593600,0
1000,9,321,9000.0,4556000,1962400,2593600,0
5000,8,321,40000.0,4556000,1962400,2593600,0
4000,8,321,32000.0,4556000,1962400,2593600,0
15000,7,321,105000.0,4556000,1962400,2593600,0
12000,7,321,84000.0,4556000,1962400,2593600,0
15000,7,321,105000.0,4556000,1962400,2593600,0
19000,6,321,114000.0,4556000,1962400,2593600,0
10000,4,321,40000.0,4556000,1962400,2593600,0
5000,4,321,20000.0,4556000,1962400,2593600,0
3000,3,321,9000.0,4556000,1962400,2593600,0
12000,1,321,12000.0,4556000,1962400,2593600,0
1000,1,321,1000.0,4556000,1962400,2593600,0
6000,1,321,6000.0,4556000,1962400,2593600,0
12000,1,321,12000.0,4556000,1962400,2593600,0
6000,1,321,6000.0,4556000,1962400,2593600,0
5000,1,321,5000.0,4556000,1962400,2593600,0
